"bitcoin.timestamp","bitcoin.market_cap_by_available_supply","bitcoin.price_btc","bitcoin.price_usd","bitcoin.volume_usd","bitcoin.available_supply","bitcoin.supply_change_in_procent","bitcoin.return_wrt_price_usd.simple","bitcoin.vol.squaredreturns"
2013-04-30,1575032004,1,141.96,0,11094900,0.000414776877091017,0.0492239467849223,0.00242299693708486
2013-05-01,1501657492,1,135.3,0,11098724.9963045,0.000344752661538994,-0.0469146238377007,0.00220098192983296
2013-05-02,1298951550,1,117,0,11102150,0.000308594338235491,-0.135254988913526,0.0182939120259979
2013-05-03,1148667722,1,103.43,0,11105749.9951658,0.000324261081485311,-0.115982905982906,0.0134520344802396
2013-05-04,1011066494,1,91.01,0,11109400,0.000328659013193899,-0.120081214347868,0.0144194980392586
2013-05-05,1236351843,1,111.25,0,11113274.9932584,0.000348803108937368,0.222393143610592,0.0494587103250015
2013-05-06,1298377788,1,116.79,0,11117200,0.00035318182479549,0.0497977528089888,0.00247981618482515
2013-05-07,1315992303,1,118.33,0,11121374.9936618,0.000375543631651265,0.0131860604503811,0.000173872190201104
2013-05-08,1183766500,1,106.4,0,11125625,0.000382147561846402,-0.100819741401166,0.010164620256198
2013-05-09,1253655040,1,112.64,0,11129750,0.000370765687320862,0.0586466165413533,0.00343942563174853
2013-05-10,1258130700,1,113,0,11133900,0.000372874503021148,0.00319602272727271,1.02145612732437e-05
2013-05-11,1322989457,1,118.78,0,11138150,0.000381717098231427,0.0511504424778761,0.00261636776568252
2013-05-12,1259239352,1,113.01,0,11142724.9977878,0.000410750240192881,-0.0485772015490823,0.00235974451034016
2013-05-13,1278708678,1,114.713,0,11147024.9928081,0.000385901565477687,0.015069462879391,0.000227088711473344
2013-05-14,1306721052,1,117.18,0,11151400,0.000392482047423703,0.0215058450219243,0.000462501370107027
2013-05-15,1277278987,1,114.5,0,11155274.9956332,0.000347489609662244,-0.0228707970643455,0.000523073358358473
2013-05-16,1273849680,1,114.156,0,11158849.994744,0.000320476107692924,-0.00300436681222704,9.02621994241129e-06
2013-05-17,1289277412,1,115.5,0,11162574.995671,0.000333815843811314,0.0117733627667402,0.000138612070837265
2013-05-18,1374605382,1,123.1,0,11166574.9959383,0.000358340281594316,0.0658008658008657,0.00432975394014354
2013-05-19,1383755085,1,123.88,0,11170125,0.000317913421351568,0.00633631194151096,4.01488490201344e-05
2013-05-20,1346499261,1,120.501,0,11174174.9943984,0.000362573775887665,-0.0272763965127542,0.000744001806720987
2013-05-21,1370131821,1,122.58,0,11177450,0.000293087015663662,0.0172529688550302,0.000297664934312644
2013-05-22,1374154117,1,122.9,0,11181074.9959317,0.00032431332116456,0.00261054005547412,6.81491938123482e-06
2013-05-23,1375791900,1,123,0,11185300,0.000377871007026132,0.000813669650121973,6.62058299529614e-07
2013-05-24,1407041527,1,125.748,0,11189374.9960238,0.000364317096885447,0.0223414634146342,0.000499140987507437
2013-05-25,1474180657,1,131.7,0,11193474.9962035,0.000366419052105993,0.0473327607596143,0.00224039024112689
2013-05-26,1464316690,1,130.77,0,11197649.9961765,0.000372985152011784,-0.0070615034168563,4.98648305062731e-05
2013-05-27,1507769010,1,134.6,0,11201850,0.000375079041132986,0.0292880630113939,0.000857790634959377
2013-05-28,1445444605,1,128.985,0,11206299.9961236,0.000397255464372304,-0.0417161961367012,0.00174024102011572
2013-05-29,1448115966,1,129.179,0,11210149.99342,0.000343556508190623,0.00150405085862682,2.26216898533606e-06
2013-05-30,1481781794,1,132.13,0,11214574.9943238,0.000394731641092161,0.0228442703535403,0.000521860687985641
2013-05-31,1429308633,1,127.401,0,11218974.992347,0.000392346390786225,-0.0357905093468553,0.00128096055930734
2013-06-01,1436386729,1,127.98,0,11223524.9960931,0.000405563230976513,0.00454470530058648,2.06543462691789e-05
2013-06-02,1449499974,1,129.09,0,11228600,0.000452175578405933,0.00867323019221744,7.52249219671922e-05
2013-06-03,1362684200,1,121.3,0,11234000,0.000480914806832544,-0.0603454953908127,0.0036415788139626
2013-06-04,1361765704,1,121.16,0,11239400,0.000480683638953261,-0.00115416323165707,1.33209276530909e-06
2013-06-05,1364113639,1,121.309,0,11244949.9954661,0.000493798197957585,0.00122977880488606,1.51235590894699e-06
2013-06-06,1369233814,1,121.714,0,11249599.9967136,0.000413519068502399,0.00333858163862533,1.11461273577662e-05
2013-06-07,1339234925,1,119,0,11254075,0.000397792213741033,-0.0222981744088601,0.000497208581967942
2013-06-08,1239395972,1,110.09,0,11258024.9977291,0.000350983775132985,-0.074873949579832,0.00560610832568322
2013-06-09,1220874392,1,108.401,0,11262574.9946956,0.000404155877021806,-0.0153419929148879,0.000235376746600471
2013-06-10,1123844957,1,99.7497,0,11266649.9949373,0.000361817811967979,-0.0798083043514358,0.00636936544345141
2013-06-11,1194605340,1,105.99,0,11270924.9929239,0.000379438252582132,0.0625595866453732,0.00391370188123996
2013-06-12,1227904672,1,108.9,0,11275524.9954086,0.000408129988235917,0.027455420322672,0.000753800105094591
2013-06-13,1222819750,1,108.4,0,11280625,0.000452307506164429,-0.00459136822773187,2.10806622026257e-05
2013-06-14,1159766149,1,102.769,0,11285174.9944049,0.000403345949796741,-0.0519464944649447,0.00269843828719653
2013-06-15,1110902570,1,98.399,0,11289774.9977134,0.000407614707857329,-0.0425225505745896,0.00180816730736853
2013-06-16,1129287060,1,99.99,0,11294000,0.000374232638601368,0.0161688635047104,0.000261432147033955
2013-06-17,1134610433,1,100.42,0,11298650,0.000411723038781675,0.00430043004300429,1.84936985547739e-05
2013-06-18,1152834600,1,102,0,11302300,0.000323047443721247,0.0157339175463056,0.000247556161353943
2013-06-19,1204638317,1,106.55,0,11305849.9953074,0.000314094945928378,0.044607843137255,0.00198985966935795
2013-06-20,1220273470,1,107.9,0,11309300,0.000305152172907386,0.0126701079305491,0.000160531634971764
2013-06-21,1254733148,1,110.91,0,11313074.9977459,0.000333795880020915,0.0278962001853567,0.000778197984781493
2013-06-22,1233750008,1,109.015,0,11317249.9931202,0.000369041606735898,-0.0170859255252006,0.000291928851052702
2013-06-23,1214260368,1,107.25,0,11321774.993007,0.000399832104931219,-0.0161904325092878,0.000262130104837802
2013-06-24,1223181000,1,108,0,11325750,0.000351093975587968,0.00699300699300709,4.89021468042461e-05
2013-06-25,1160635651,1,102.443,0,11329574.9929229,0.000337725353543483,-0.0514537037037037,0.00264748362482853
2013-06-26,1175194909,1,103.691,0,11333624.9915615,0.000357471365086681,0.0121823843503217,0.000148410488458963
2013-06-27,1172207387,1,103.39,0,11337724.9927459,0.00036175550077755,-0.00290285559981096,8.42657063335385e-06
2013-06-28,1130338737,1,99.66,0,11341950,0.000372650355939141,-0.0360769900377212,0.00130154921018184
2013-06-29,1058953326,1,93.3311,0,11346199.9912141,0.000374714331669024,-0.0635049167168371,0.00403287444721242
2013-06-30,1082693996,1,95.3886,0,11350349.9998952,0.000365761989415514,0.0220451703665765,0.000485989536491382
2013-07-01,1107084792,1,97.504,0,11354250,0.000343601748392652,0.0221766542333153,0.00049180399298402
2013-07-02,1016445145,1,89.489,0,11358324.9896635,0.00035889553810553,-0.082201755825402,0.00675712866077901
2013-07-03,1031653673,1,90.797,0,11362199.9955946,0.000341159980416172,0.0146163215590742,0.000213636855918258
2013-07-04,895707780,1,78.8,0,11366850,0.000409252117304248,-0.132129916186658,0.0174583147514933
2013-07-05,892405890,1,78.48,0,11371125,0.000376093640718445,-0.0040609137055837,1.64910201241976e-05
2013-07-06,771368060,1,67.809,0,11375599.9941011,0.000393540137944015,-0.135970948012233,0.0184880987033452
2013-07-07,774804400,1,68.0831,0,11380274.9874785,0.000410966751633657,0.00404223628131972,1.63396741540175e-05
2013-07-08,882356394,1,77.502,0,11384949.9883874,0.000410798589137951,0.138344170579777,0.0191391095334064
2013-07-09,870081996,1,76.3915,0,11389774.988055,0.000423805082365725,-0.0143286624861294,0.000205310568641412
2013-07-10,877378425,1,77,0,11394525,0.000417041772118099,0.00796554590497633,6.34499215642852e-05
2013-07-11,977479256,1,85.75,0,11399174.9970845,0.000408090471919476,0.113636363636364,0.0129132231404958
2013-07-12,1069724400,1,93.804,0,11403824.9968018,0.000407924232980195,0.0939241982507288,0.00882175501704222
2013-07-13,1004551934,1,88.0622,0,11407299.9993187,0.000304722539831603,-0.0612106093556778,0.00374673869769339
2013-07-14,1090715949,1,95.58,0,11411550,0.000372568502764903,0.0853692049483206,0.00728790115350836
2013-07-15,1073073450,1,94,0,11415675,0.000361475873128514,-0.0165306549487341,0.000273262553034106
2013-07-16,1111179852,1,97.301,0,11420024.9946044,0.00038105452409698,0.0351170212765957,0.00123320518334087
2013-07-17,1130735526,1,98.9796,0,11423924.9906041,0.000341505031871137,0.0172516212577467,0.000297618436020738
2013-07-18,1117707300,1,97.8,0,11428500,0.000400476141049655,-0.0119176072645273,0.000142029362911514
2013-07-19,1015062893,1,88.7869,0,11432574.9969872,0.000356564464905063,-0.0921584867075664,0.0084931866722287
2013-07-20,1047311253,1,91.572,0,11437024.9967239,0.00038923862191087,0.0313683662792597,0.000983974403029794
2013-07-21,1021492656,1,89.28,0,11441450,0.00038690160049315,-0.0250294849954135,0.000626475119135628
2013-07-22,1034399450,1,90.3672,0,11446624.9922538,0.000452302134242411,0.0121774193548387,0.000148289542143601
2013-07-23,1050054379,1,91.7024,0,11450674.9986914,0.00035381664379952,0.014775272443984,0.000218308675793954
2013-07-24,1083333285,1,94.5806,0,11454074.9900085,0.000296924968832935,0.0313863105000525,0.000985100486805704
2013-07-25,1083076902,1,94.525,0,11458099.9947104,0.000351403732329558,-0.000587858398022445,3.45577496125515e-07
2013-07-26,1111232482,1,96.9499,0,11461924.9942496,0.000333824939647842,0.0256535308119545,0.000658103643119901
2013-07-27,1079278107,1,94.13,0,11465824.9973441,0.000340257251417064,-0.0290861568707137,0.000846004521507766
2013-07-28,1078286702,1,94.005,0,11470524.9933514,0.000409913460950984,-0.00132795070646974,1.76345307881348e-06
2013-07-29,1131111628,1,98.5759,0,11474524.9903881,0.000348719613009418,0.0486240093612043,0.00236429428635848
2013-07-30,1165105812,1,101.5,0,11478874.9950739,0.000379101068621157,0.0296634370064082,0.000879919495033146
2013-07-31,1267183179,1,110.34,0,11484350,0.000476963546380382,0.0870935960591133,0.00758529447450799
2013-08-01,1220481781,1,106.23,0,11489049.9952932,0.00040925218172827,-0.0372485046220772,0.00138745109658091
2013-08-02,1167849454,1,101.61,0,11493449.9950792,0.000382973334418057,-0.043490539395651,0.00189142701692467
2013-08-03,1192378895,1,103.7,0,11498350,0.000426330207454972,0.0205688416494441,0.000423077246799905
2013-08-04,1206152150,1,104.86,0,11502500,0.000360921349584986,0.0111861137897782,0.000125129141717866
2013-08-05,1226188584,1,106.56,0,11507025,0.000393392740708487,0.0162120923135609,0.000262831937183421
2013-08-06,1218425715,1,105.841,0,11511849.9919691,0.000419308376325533,-0.00674737237237244,4.55270339314549e-05
2013-08-07,1229098150,1,106.75,0,11513800,0.000169391369091443,0.00858835422945736,7.37598283706382e-05
2013-08-08,1212383133,1,105.232,0,11521049.9942983,0.000629678672402934,-0.0142201405152225,0.000202212396272672
2013-08-09,1198290079,1,103.958,0,11526674.9937475,0.000488236701684741,-0.0121065835487304,0.00014656936522239
2013-08-10,1195703559,1,103.692,0,11531299.9942136,0.000401243243924876,-0.00255872563920045,6.54707689670177e-06
2013-08-11,1193835825,1,103.48,0,11536875,0.00048346724039483,-0.00204451645257098,4.18004752483341e-06
2013-08-12,1204979580,1,104.4,0,11541950,0.000439893818733328,0.00889060688055654,7.90428907045993e-05
2013-08-13,1234277535,1,106.89,0,11547174.9929834,0.00045269586018315,0.0238505747126436,0.000568849914123396
2013-08-14,1277045962,1,110.55,0,11551749.9954772,0.000396201018560749,0.034240808307606,0.00117243295355822
2013-08-15,1290791623,1,111.701,0,11555774.9975381,0.000348432234292373,0.0104115784712799,0.00010840096626362
2013-08-16,1255999432,1,108.65,0,11560049.9953981,0.00036994471257068,-0.0273139900269468,0.000746054051192149
2013-08-17,1260549575,1,109,0,11564675,0.000400085172968412,0.00322135296824655,1.03771149460309e-05
2013-08-18,1297725576,1,112.17,0,11569274.9933137,0.000397762437225557,0.0290825688073395,0.000845795808433637
2013-08-19,1364305023,1,117.879,0,11573774.9980913,0.000388961692080247,0.0508959614870286,0.0025903988956891
2013-08-20,1391744715,1,120.2,0,11578575,0.000414730881629355,0.0196896817923464,0.000387683569083858
2013-08-21,1390017000,1,120,0,11583475,0.000423195427762035,-0.00166389351081531,2.76854161533329e-06
2013-08-22,1412622912,1,121.9,0,11588374.9958983,0.000423016055050462,0.0158333333333334,0.000250694444444445
2013-08-23,1404948802,1,121.18,0,11593900,0.00047677125599388,-0.00590648072190314,3.48865145182134e-05
2013-08-24,1380248275,1,119,0,11598725,0.00041616712236614,-0.0179897672883315,0.000323631727088321
2013-08-25,1398134387,1,120.5,0,11602774.9958506,0.000349175952582881,0.0126050420168067,0.000158887084245462
2013-08-26,1413720420,1,121.8,0,11606900,0.000355518757439777,0.0107883817427386,0.000116389180627054
2013-08-27,1420013070,1,122.3,0,11610900,0.000344622595180422,0.0041050903119868,1.68517664695679e-05
2013-08-28,1467696672,1,126.36,0,11615200,0.000370341661714457,0.0331970564186428,0.00110204455486255
2013-08-29,1423401000,1,122.5,0,11619600,0.000378813967904179,-0.0305476416587528,0.000933158410911569
2013-08-30,1414493496,1,121.68,0,11624700,0.000438913559847265,-0.00669387755102036,4.48079966680543e-05
2013-08-31,1548720490,1,133.17,0,11629649.9962454,0.000425817117465588,0.0944280078895461,0.00891664867398818
2013-09-01,1595008048,1,137.08,0,11635600,0.000511623630678359,0.0293609671848016,0.000862066394026998
2013-09-02,1590732401,1,136.65,0,11640924.9981705,0.000457647063366817,-0.00313685439159617,9.83985547407616e-06
2013-09-03,1575707182,1,135.3,0,11646024.9963045,0.000438109354265359,-0.00987925356750818,9.75996510511232e-05
2013-09-04,1589775538,1,136.45,0,11650974.9945035,0.000425037572952425,0.00849963045084978,7.22437178010129e-05
2013-09-05,1483451582,1,127.28,0,11655025,0.000347610865050196,-0.0672041040674238,0.00451639160350513
2013-09-06,1466648505,1,125.79,0,11659500,0.000383954560372102,-0.0117064739157762,0.000137041531540748
2013-09-07,1413398077,1,121.18,0,11663624.9958739,0.000353788402067456,-0.0366483822243422,0.00134310391966148
2013-09-08,1440475723,1,123.46,0,11667550,0.000336516659913411,0.0188149859712823,0.000354003697099549
2013-09-09,1410546093,1,120.85,0,11671874.993794,0.000370685687566041,-0.0211404503482909,0.000446918640928554
2013-09-10,1485885525,1,127.25,0,11676900,0.000430522620291196,0.0529582126603227,0.00280457228817597
2013-09-11,1441952016,1,123.44,0,11681400,0.000385376255684244,-0.0299410609037328,0.000896467128041039
2013-09-12,1571991468,1,134.51,0,11686800,0.000462273357645593,0.0896791963707064,0.00804235826169573
