,date,m_total,m_circ_wb,m_circ_mc_lifo,m_circ_mc_fifo,tx_fees,tx_number,tx_vol,tx_vol_peeling,tx_vol_changeouts,tx_vol_issues_agg,tx_corrd,v_based_on_m_circ_wb_1d,v_based_on_m_circ_mc_lifo_1d,v_based_on_m_circ_mc_fifo_1d,v_based_on_m_total,DIFF_m_total,DIFF_m_circ_wb,DIFF_m_circ_mc_lifo,DIFF_m_circ_mc_fifo,DIFF_tx_fees,DIFF_tx_number,DIFF_tx_vol,DIFF_tx_vol_peeling,DIFF_tx_vol_changeouts,DIFF_tx_vol_issues_agg,DIFF_tx_corrd,DIFF_v_based_on_m_circ_wb_1d,DIFF_v_based_on_m_circ_mc_lifo_1d,DIFF_v_based_on_m_circ_mc_fifo_1d,DIFF_v_based_on_m_total,DIFF_DIFF_m_total,DIFF_DIFF_m_circ_wb,DIFF_DIFF_m_circ_mc_lifo,DIFF_DIFF_m_circ_mc_fifo,DIFF_DIFF_tx_fees,DIFF_DIFF_tx_number,DIFF_DIFF_tx_vol,DIFF_DIFF_tx_vol_peeling,DIFF_DIFF_tx_vol_changeouts,DIFF_DIFF_tx_vol_issues_agg,DIFF_DIFF_tx_corrd,DIFF_DIFF_v_based_on_m_circ_wb_1d,DIFF_DIFF_v_based_on_m_circ_mc_lifo_1d,DIFF_DIFF_v_based_on_m_circ_mc_fifo_1d,DIFF_DIFF_v_based_on_m_total,prices,returns,volatility,volume,DIFF_prices,DIFF_returns,DIFF_volatility,DIFF_volume,DIFF_DIFF_prices,DIFF_DIFF_returns,DIFF_DIFF_volatility,DIFF_DIFF_volume
10,2013-05-13,1114767500000000.0,15975444396905,91564381201803,91564381201803,435000000000.0,60998.0,112209196565821.0,78502972750504.0,20209849393603.0,87236875670382.0,24972320895439.0,5.4606853808262645,0.952738111975186,0.952738111975186,0.07825566826300731,420000000000.0,1278927398591.0,49918919693061.0,49918919693061.0,15000000000.0,-4430.0,55952626285716.0,50602207839620.0,6018740622240.0,51614363340667.0,4338262945049.0,3.0368109122156643,0.09736249506102823,0.09736249506102823,0.046288519478884765,-60000000000.0,-1420211746885.0,34415285709406.0,34415285709406.0,110000000000.0,17039.0,54458543826446.0,52011746276190.0,19933342702745.0,50523961196930.0,3934582629516.0,3.313475982720276,0.34080103884944823,0.34080103884944823,0.045317134729158715,114.713,0.015069462879391001,0.000227088711473344,0.0,1.7029999999999887,0.0636466644284733,-0.0021326557988668162,0.0,19.022999999999982,0.31105637223299354,0.0009867439162271796,0.0
11,2013-05-14,1115202500000000.0,21875237858230,56176453425068,56176453425068,385000000000.0,66470.0,78433217756206.0,35106119141398.0,21871764331138.0,44109639280319.0,34323578475887.0,2.0164187272470673,0.7851980071891768,0.7851980071891768,0.03955303120313934,435000000000.0,5899793461325.0,-35387927776735.0,-35387927776735.0,-50000000000.0,5472.0,-33775978809615.0,-43396853609106.0,1661914937535.0,-43127236390063.0,9351257580448.0,-3.4442666535791973,-0.16754010478600923,-0.16754010478600923,-0.03870263705986797,50000000000.0,1362857293304.0,-138524358263236.0,-138524358263236.0,-115000000000.0,6358.0,-156937136355379.0,-150621210838929.0,-18297897032938.0,-151990821363698.0,-4946314991681.0,-9.568130362449965,-0.42486122791223146,-0.42486122791223146,-0.1363514431271187,117.18,0.0215058450219243,0.00046250137010702693,0.0,2.467000000000013,0.006436382142533297,0.00023541265863368294,0.0,-6.7089999999999606,-0.2205845907413717,0.004244101001024956,0.0
12,2013-05-15,1115587500000000.0,27232425751720,56570067170107,56570067170107,352499950000.0,64171.0,75279090709724.0,27853751594399.0,18356611547817.0,36044058215983.0,39235032493741.0,1.323571338983875,0.6371577765251366,0.6371577765251366,0.03230948555445718,385000000000.0,5357187893490.0,393613745039.0,393613745039.0,-32500050000.0,-2299.0,-3154127046482.0,-7252367546999.0,-3515152783321.0,-8065581064336.0,4911454017854.0,-0.6928473882631923,-0.14804023066404015,-0.14804023066404015,-0.007243545648682161,-65000000000.0,-5163471630569.0,121088388991570.0,121088388991570.0,82499950000.0,-17673.0,120350456858464.0,130143547510833.0,-820242036151.0,129803255056457.0,-9452798197993.0,9.232496831110867,0.28440247396900653,0.28440247396900653,0.11645024794993855,114.5,-0.0228707970643455,0.0005230733583584731,0.0,-2.680000000000007,-0.0443766420862698,6.057198825144616e-05,0.0,-5.911000000000044,0.006397258057136916,-0.002542909127882736,0.0
13,2013-05-16,1115940000000000.0,21344630404278,52077291923958,52077291923958,370000000000.0,61158.0,72346243963563.0,31516308018061.0,19898952039605.0,38416751978173.0,33929491985390.0,1.799832147502227,0.7376872060526536,0.7376872060526536,0.03442546371505009,352500000000.0,-5887795347442.0,-4492775246149.0,-4492775246149.0,17500050000.0,-3013.0,-2932846746161.0,3662556423662.0,1542340491788.0,2372693762190.0,-5305540508351.0,0.47626080851835195,0.10052942952751698,0.10052942952751698,0.0021159781605929115,17500000000.0,-10702377673097.0,-40667930512962.0,-40667930512962.0,32500150000.0,7057.0,-30400571462812.0,-25229562091446.0,10234560995965.0,-24623380499201.0,-5777190963611.0,-1.5823110685344608,0.22906978606958805,0.22906978606958805,-0.022099567601910737,114.156,-0.00300436681222704,9.02621994241129e-06,0.0,-0.3439999999999941,0.01986643025211846,-0.0005140471384160618,0.0,7.4830000000000325,0.11505609656719135,-0.0003997784562852712,0.0
14,2013-05-17,1116310000000000.0,23608354898938,65248130993715,65248130993715,402500000000.0,58731.0,85344074993436.0,36391036680899.0,19693443999721.0,44990629403628.0,40353445589808.0,1.905707940948137,0.68953131252084,0.68953131252084,0.04030298877876934,370000000000.0,2263724494660.0,13170839069757.0,13170839069757.0,32500000000.0,-2427.0,12997831029873.0,4874728662838.0,-205508039884.0,6573877425455.0,6423953604418.0,0.10587579344591003,-0.0481558935318136,-0.0481558935318136,0.005877525063719247,50000000000.0,19396503083034.0,22550003307094.0,22550003307094.0,-35000150000.0,1300.0,15709397475713.0,-9702751731485.0,-6805341806781.0,-6237091163261.0,21946488638974.0,-1.5394932118539861,-0.3972549832508877,-0.3972549832508877,-0.005597976906148737,115.5,0.0117733627667402,0.000138612070837265,0.0,1.343999999999994,0.01477772957896724,0.0001295858508948537,0.0,-0.6480000000000246,-0.06933177301153948,0.0012182521159784234,0.0
15,2013-05-18,1116712500000000.0,14555095875109,51159542513935,51159542513935,372500000000.0,52215.0,74821100918305.0,44106655574366.0,23289075281199.0,51477817544912.0,23343283373393.0,3.536755648098848,1.0062212251192495,1.0062212251192495,0.04609764603236016,402500000000.0,-9053259023829.0,-14088588479780.0,-14088588479780.0,-30000000000.0,-6516.0,-10522974075131.0,7715618893467.0,3595631281478.0,6487188141284.0,-17010162216415.0,1.6310477071507108,0.3166899125984095,0.3166899125984095,0.005794657253590824,15000000000.0,-19468503360591.0,-44923041865443.0,-44923041865443.0,-77499950000.0,-4675.0,-39451482881038.0,1628717991453.0,5548987853034.0,-4287872947436.0,-35163609933602.0,1.8955569287772427,0.5135311291895537,0.5135311291895537,-0.003844414713254758,123.1,0.0658008658008657,0.00432975394014354,0.0,7.599999999999994,0.05402750303412549,0.004191141869306275,0.0,4.568000000000012,0.04433847412830947,0.003417923029100506,0.0
16,2013-05-19,1117085000000000.0,13287866402529,27421919184037,27421919184037,390000000000.0,47820.0,42354273131068.0,16745883743925.0,14542370862314.0,22570861403426.0,19783411727642.0,1.6986068883963361,0.823095613838913,0.823095613838913,0.02020514231542452,372500000000.0,-1267229472580.0,-23737623329898.0,-23737623329898.0,17500000000.0,-4395.0,-32466827787237.0,-27360771830441.0,-8746704418885.0,-28906956141486.0,-3559871645751.0,-1.8381487597025117,-0.18312561128033644,-0.18312561128033644,-0.025892503716935644,-62500000000.0,19103013069738.0,17610392699419.0,17610392699419.0,110000000000.0,6210.0,1576951392898.0,-37917280954537.0,-16143475021725.0,-35307454998599.0,36884406391497.0,-4.994368380558023,-0.864661330008969,-0.864661330008969,-0.03160429316039805,123.88,0.00633631194151096,4.01488490201344e-05,0.0,0.7800000000000011,-0.05946455385935473,-0.004289605091123406,0.0,-13.075999999999993,-0.15274183034863847,-0.012542302978841104,0.0
17,2013-05-20,1117475000000000.0,15505405653275,33276967245640,33276967245640,322500000000.0,48821.0,54066395540007.0,23570031564372.0,20466928294367.0,30428376917774.0,23638018622233.0,1.962436688094453,0.9143975378874339,0.9143975378874339,0.02722958179625853,390000000000.0,2217539250746.0,5855048061603.0,5855048061603.0,-67500000000.0,1001.0,11712122408939.0,6824147820447.0,5924557432053.0,7857515514348.0,3854606894591.0,0.26382979969811693,0.09130192404852089,0.09130192404852089,0.007024439480834012,47500000000.0,-4301260827923.0,39241706241619.0,39241706241619.0,-132500000000.0,3275.0,66122803908282.0,69261310374796.0,27013597551301.0,72158615938604.0,-6035812030322.0,5.571175026253851,0.7742430592076033,0.7742430592076033,0.06460410416829612,120.501,-0.0272763965127542,0.000744001806720987,0.0,-3.3789999999999907,-0.03361270845426516,0.0007038529577008526,0.0,2.6610000000000014,0.1393439022985698,0.01347420500925394,0.0
18,2013-05-21,1117797500000000.0,16669807848182,44613005332862,44613005332862,377500000000.0,53942.0,67448294953520.0,29358270891708.0,22457789620658.0,37495314412500.0,29952980541020.0,2.249294938129069,0.8404570401106984,0.8404570401106984,0.03354392402246382,322500000000.0,1164402194907.0,11336038087222.0,11336038087222.0,55000000000.0,5121.0,13381899413513.0,5788239327336.0,1990861326291.0,7066937494726.0,6314961918787.0,0.28685825003461596,-0.0739404977767355,-0.0739404977767355,0.006314342226205288,-85000000000.0,-4537905779165.0,-24111681365882.0,-24111681365882.0,207500000000.0,-1276.0,-42509173191602.0,-35220828143999.0,-18604957956700.0,-37555049675456.0,-4954123516146.0,-2.07895010906413,-0.4396699571541137,-0.4396699571541137,-0.03362704045239838,122.58,0.0172529688550302,0.000297664934312644,0.0,2.0789999999999935,0.0445293653677844,-0.00044633687240834297,0.0,9.616999999999976,0.05229022841695999,-0.006143647878933454,0.0
19,2013-05-22,1118175000000000.0,16356738534759,43556769729809,43556769729809,390000000000.0,51990.0,73807485908402.0,36937903832033.0,29860716178593.0,44615579603186.0,29191906305216.0,2.7276574427337916,1.0243087327169806,1.0243087327169806,0.03990035513509603,377500000000.0,-313069313423.0,-1056235603053.0,-1056235603053.0,12500000000.0,-1952.0,6359190954882.0,7579632940325.0,7402926557935.0,7120265190686.0,-761074235804.0,0.4783625046047226,0.1838516926062822,0.1838516926062822,0.006356431112632212,122500000000.0,-424334452491.0,-17873263715894.0,-17873263715894.0,-165000000000.0,-11193.0,-8692485463205.0,2827302106100.0,9345761337406.0,843905715582.0,-9536391178787.0,0.16847580423360764,0.4230346122082741,0.4230346122082741,0.0007521861410556482,122.9,0.00261054005547412,6.81491938123482e-06,0.0,0.3200000000000074,-0.01464242879955608,-0.0002908500149314092,0.0,-7.21699999999997,-0.13731386798939005,0.0013056766875861295,0.0
