"timestamp","market_cap_by_available_supply","price_btc","price_usd","volume_usd"
1379827562000,1493833260,1,127.31,0
1379913961000,1507154161,1,128.39,0
1380000362000,1484371556,1,126.39,0
1380086762000,1513805580,1,128.84,0
1380173161000,1515403031,1,128.92,0
1380259562000,1530763838,1,130.18,0
1380345962000,1584338266,1,134.69,0
1380432362000,1629791825,1,138.5,0
1380519361000,1583038043,1,134.48,0
1380606061000,1577869589,1,133.99,0
1380692462000,1550425024,1,131.61,0
1380778862000,1432992865,1,121.59,0
1380870971000,1484790258,1,125.93,0
1380957369000,1522400010,1,129.07,0
1381043771000,1519707024,1,128.78,0
1381130163000,1528242935,1,129.46,0
1381216561000,1489210920,1,126.11,0
1381303862000,1504666389,1,127.37,0
1381390262000,1549185570,1,131.09,0
1381476662000,1539049795,1,130.18,0
1381563063000,1574653436,1,133.14,0
1381649469000,1592076330,1,134.55,0
1381735862000,1657780162,1,140.03,0
1381822261000,1653892914,1,139.63,0
1381908662000,1798515348,1,151.76,0
1381995063000,1708762041,1,144.13,0
1382081465000,1737727200,1,146.52,0
1382167862000,1936429199,1,163.2,0
1382256962000,2055254041,1,173.14,0
1382343365000,2116153256,1,178.19,0
1382429762000,2289446235,1,192.69,0
1382516462000,2318122872,1,195.01,0
1382603162000,2263880095,1,190.36,0
1382689561000,2208910112,1,185.65,0
1382775972000,2205330408,1,185.26,0
1382862362000,2170590240,1,182.28,0
1382948762000,2332560505,1,195.8,0
1383035461000,2383514169,1,200.01,0
1383121861000,2411927532,1,202.32,0
1383213961000,2400527163,1,201.27,0
1383300363000,2430860520,1,203.73,0
1383387362000,2472401796,1,207.12,0
1383473762000,2448338589,1,205.02,0
1383559862000,2586286560,1,216.48,0
1383646270000,2753961102,1,230.43,0
1383732962000,3070437192,1,256.82,0
1383819363000,3518670692,1,294.21,0
1383905762000,3825919011,1,319.81,0
1383992161000,4228079278,1,353.33,0
1384078562000,3779710352,1,315.76,0
1384164962000,3980634680,1,332.41,0
1384251362000,4328310772,1,361.3,0
1384337762000,4493672638,1,374.95,0
1384424762000,4897827984,1,408.52,0
1384511162000,5132926869,1,427.99,0
1384597862000,5294532600,1,441.28,0
1384684562000,5625255681,1,468.66,0
1384770962000,6705789430,1,558.49,0
1384857363000,8103857471,1,674.71,0
1384943762000,5798258526,1,482.59,0
1385030762000,7456358841,1,620.39,0
1385117462000,8790506777,1,731.15,0
1385243162000,9730337944,1,808.91,0
1385329561000,9349295648,1,776.96,0
1385419862000,9529002102,1,791.59,0
1385506262000,10946018925,1,909,0
1385592363000,11850638474,1,983.78,0
1385678761000,12426552940,1,1031.2,0
1385775961000,13853313627,1,1149.14,0
1385862661000,13541896415,1,1122.87,0
1385949061000,12038665194,1,997.84,0
1386035761000,12438459202,1,1030.64,0
1386123062000,13004931455,1,1077.12,0
1386210362000,13613383537,1,1127.12,0
1386298561000,12117660075,1,1002.91,0
1386386162000,9250920298,1,765.32,0
1386474061000,8397879080,1,694.46,0
1386560462000,10135632177,1,837.82,0
1386647462000,11155612005,1,921.78,0
1386735361000,11596135176,1,957.82,0
1386821761000,10329286823,1,852.89,0
1386909061000,10978301748,1,906.15,0
1386995462000,10820630864,1,892.83,0
1387083361000,10307643675,1,850.15,0
1387170361000,10539143353,1,868.93,0
1387257062000,8119114562,1,669.11,0
1387343762000,7818203456,1,644.05,0
1387430461000,6802839701,1,560.15,0
1387517461000,8650071000,1,711.94,0
1387604461000,7757993944,1,638.3,0
1387690862000,7412626262,1,609.69,0
1387777561000,7846531378,1,645.14,0
1387863961000,8169016070,1,671.42,0
1387950361000,7968482544,1,654.72,0
1388036762000,8448510379,1,693.91,0
1388123761000,8968234621,1,736.34,0
1388210161000,8891737240,1,729.8,42655600
1388296862000,8769072171,1,719.49,28461300
1388385962000,9176209842,1,752.77,22007600
1388474161000,9114650721,1,747.72,20506000
1388560561000,9375027519,1,769.08,21589100
1388646962000,9400260663,1,771.15,18947700
1388733362000,9777538842,1,802.1,43849700
1388819762000,9872620257,1,809.9,35196700
1388906161000,10533192293,1,864.09,42135000
1388992562000,11895294512,1,975.83,81493600
1389097561000,11238639912,1,919.1,68799700
1389183962000,10489937497,1,857.55,110141000
1389270361000,10291198407,1,840.98,45362400
1389356761000,10235909453,1,836.11,52454300
1389443161000,11120838747,1,908.02,49098300
1389529561000,10579385547,1,863.47,34522800
1389615962000,10236131169,1,835.11,37392700
1389702362000,10257005161,1,836.54,38697900
1389788762000,10586901588,1,863.15,26660900
1389879062000,10466816554,1,853.01,20300100
1389966062000,10118464372,1,824.34,26945900
1390052462000,10293545616,1,838.31,32352400
1390140662000,10240441312,1,833.7,13502400
1390227062000,10634404659,1,865.46,35395600
1390313762000,10660106725,1,867.22,20713900
1390411262000,10407022515,1,846.28,18746100
1390498262000,10192103437,1,828.5,15644300
1390584662000,9875571598,1,802.45,34472700
1390671062000,10468361227,1,850.35,21223000
1390757462000,10966151300,1,890.5,34424100
1390854662000,9896706963,1,803.34,35631500
1390941362000,10030077450,1,813.91,56828800
1391028662000,10174460328,1,825.36,19521200
1391115062000,10105458986,1,819.49,29210500
1391201462000,10153617765,1,823.08,17917600
1391287862000,10391760101,1,842.05,18033300
1391374262000,10241496932,1,829.58,11338000
1391460962000,10117201297,1,819.19,14591300
1391549462000,10268668985,1,831.17,16735800
1391636162000,10152548463,1,821.49,16043300
1391722563000,9682805649,1,783.21,53011100
1391808965000,8977470788,1,725.92,117047000
1391895365000,8503248112,1,687.32,32745800
1391982062000,8568588480,1,692.4,46785800
1392068762000,8273521358,1,668.35,107168000
1392156073000,7902678666,1,638.18,65600800
1392260762000,8103210317,1,654.09,21736000
1392347167000,6981872578,1,563.37,47825600
1392433873000,7991142081,1,644.56,89949800
1392520270000,8166740022,1,658.47,26003800
1392607282000,7645657217,1,616.22,41720300
1392693705000,7963598356,1,641.65,31287200
1392780362000,7763582295,1,625.32,18755000
1392867062000,7765481646,1,625.23,13801200
1392954082000,6824404453,1,549.26,61004800
1393040762000,7053173750,1,567.5,31233100
1393127162000,7630472818,1,613.72,32760700
1393213562000,7195562323,1,578.54,43121200
1393299962000,6195879609,1,497.98,63770800
1393389369000,7013767152,1,563.52,118561000
1393476662000,7239905721,1,581.48,56891900
1393563362000,7115937422,1,571.31,23689700
1393650362000,6955268689,1,558.21,31792500
1393736765000,6992425456,1,561.03,11935700
1393823162000,7150284539,1,573.53,13384000
1393913183000,8257065652,1,662.1,92445300
1394006761000,8280089523,1,663.72,47041600
1394095261000,8267403750,1,662.5,18912900
1394182283000,8179264894,1,655.21,16138000
1394268962000,7766677880,1,621.94,36448400
1394355362000,7774864760,1,622.39,13913000
1394441781000,7987727962,1,639.21,18045400
1394528162000,7883390766,1,630.67,18053300
1394614562000,7948515121,1,635.66,19325900
1394700962000,8003678580,1,639.84,11794700
1394789462000,7923870033,1,633.27,12258000
1394875862000,7908582117,1,631.85,9545480
1394962262000,7943849911,1,634.47,4314850
1395048662000,7794370518,1,622.31,9833280
1395135062000,7729983328,1,616.987,18351700
1395222077000,7732059879,1,616.973,21760900
1395308462000,7568383029,1,603.703,14096400
1395394562000,7531941604,1,600.589,23894600
1395480963000,7096672519,1,565.677,32804700
1395567362000,7116284105,1,567.012,16745300
1395654362000,6983197243,1,556.214,12648300
1395740763000,7197165743,1,573.041,21741700
1395837962000,7343002343,1,584.442,17583200
1395944761000,6564587596,1,522.284,51136600
1396039262000,6177467010,1,491.286,63553400
1396145462000,6108104221,1,485.565,12772300
1396233962000,5995761080,1,476.496,45724500
1396320362000,5772747763,1,458.605,27105200
1396408562000,6062248781,1,481.448,34067100
1396496463000,5381332964,1,427.184,55336300
1396583162000,5505654176,1,436.883,33830700
1396669562000,5698723917,1,452.016,23929300
1396755962000,5856585232,1,464.402,11955400
1396842362000,5746822291,1,455.561,11618500
1396928762000,5718542737,1,453.189,14593500
1397016663000,5738904084,1,454.672,10170500
1397103362000,5400810410,1,427.748,17832600
1397189763000,4823150267,1,381.885,70565900
1397276163000,5535166815,1,438.115,50580500
1397362562000,5370397396,1,424.927,14715800
1397448962000,5176894908,1,409.46,22489000
1397535962000,5759489398,1,455.373,50133200
1397623562000,6524134861,1,515.641,50944100
1397710262000,6575226952,1,519.52,52936100
1397797262000,6252223023,1,493.836,32366300
1397883662000,5975968814,1,471.864,19158900
1397970062000,6393006503,1,504.638,20042800
1398056463000,6435488891,1,507.807,12975100
1398143162000,6322029639,1,498.687,13710300
1398229562000,6226287188,1,490.975,11861900
1398318062000,6195771518,1,488.405,8910030
1398407464000,5790307676,1,456.307,27998600
1398494762000,5733379123,1,451.657,31809900
1398582662000,5788410979,1,455.845,8288480
1398670562000,5407456652,1,425.696,18407000
1398773762000,5685695339,1,447.438,18158700
1398871562000,5673077338,1,446.294,16835300
1398957963000,5731664211,1,450.762,10634100
1399044362000,5666988895,1,445.525,13399300
1399130765000,5610505365,1,440.957,7992990
1399217165000,5517588612,1,433.529,9089060
1399303566000,5473840871,1,429.981,8501700
1399392065000,5487874929,1,430.926,12386100
1399478467000,5607924965,1,440.211,13337000
1399564880000,5626345356,1,441.514,13913100
1399653676000,5741033790,1,450.369,9915840
1399740066000,5754552853,1,451.272,7235980
1399826467000,5528484826,1,433.401,11529800
1399912870000,5630703159,1,441.282,8384810
1399999273000,5614371662,1,439.853,7877390
1400086276000,5673690624,1,444.368,8295740
1400172667000,5724581374,1,448.209,8749340
1400259070000,5730560632,1,448.52,6576940
1400345466000,5724920041,1,447.912,3524010
1400431868000,5716510660,1,447.122,2865040
1400518277000,5692061490,1,445.06,4957490
1400604675000,6183365788,1,483.302,27283600
1400691977000,6298351579,1,492.126,24632800
1400778380000,6609931274,1,516.295,29657700
1400864769000,6700336553,1,523.193,35148700
1400997366000,7115204096,1,555.32,18722500
1401083770000,7521273634,1,586.827,50567300
1401172873000,7497455615,1,584.793,23017500
1401259265000,7382028997,1,575.617,35857700
1401345676000,7269497761,1,566.67,20176700
1401432967000,7305732162,1,569.327,16235700
1401519367000,7920661529,1,617.077,34320100
1401605773000,8325584400,1,648.41,22762200
1401692166000,8004231903,1,623.169,40145700
1401778567000,8443853248,1,657.145,49846100
1401864966000,8213918062,1,639.06,52617500
1401954066000,8306258433,1,645.998,21159200
1402040465000,8453788890,1,657.275,29445300
1402126867000,8398066511,1,652.765,21867200
1402213266000,8461802884,1,657.53,10478300
1402299666000,8332939692,1,647.333,12870500
1402386065000,8472890038,1,657.994,18790100
1402472469000,8374495671,1,650.166,19921200
1402561566000,8202725168,1,636.624,24077300
1402647969000,7874556522,1,610.96,60990900
1402734367000,7540155635,1,584.821,25605800
1402820767000,7215495816,1,559.434,37289100
1402907167000,7737782349,1,599.72,33007200
1402993571000,7698607587,1,596.463,19384800
1403079968000,7907048530,1,612.4,22105500
1403166367000,7879526986,1,610.083,11232200
1403252768000,7615404520,1,589.439,17307900
1403339167000,7648148389,1,591.765,14095600
1403425570000,7816412859,1,604.541,12689000
1403511967000,7678243878,1,593.671,9732680
1403602266000,7688879009,1,594.267,13248600
1403694075000,7398086370,1,571.571,17505000
1403813170000,7423820740,1,573.299,14991400
1403903467000,7577314829,1,584.93,17807400
1404024372000,7788118206,1,600.891,11872300
1404116499000,8122165800,1,626.494,21052800
1404202872000,8486436757,1,654.42,48388800
1404307273000,8372715704,1,645.444,28179200
1404407768000,8371823420,1,645.18,20905000
1404523271000,8200025844,1,631.675,22311500
1404666371000,8244355335,1,634.794,9920810
1404815040000,8082395595,1,622.017,18318100
1404915240000,8116882102,1,624.45,9381280
1405001640000,7986870811,1,614.266,12872200
1405088040000,8183210066,1,629.174,16069200
1405174440000,8177509169,1,628.546,15924500
1405260840000,8186803751,1,629.067,12269200
1405347240000,8070258638,1,619.951,11019700
1405433640000,8122773091,1,623.815,11657300
1405520040000,8032529722,1,616.682,178002
1405606440000,8078882611,1,620.055,12468000
1405692840000,8092787472,1,620.928,15592200
1405779240000,8188922459,1,628.086,13970800
1405865640000,8151474297,1,625.016,6900530
1405952040000,8094123825,1,620.445,7957950
1406039040000,8116705702,1,621.996,10599200
1406125440000,8130867361,1,622.907,8896050
1406211840000,7849214803,1,601.158,22554500
1406298240000,7859391788,1,601.76,16273400
1406384640000,7809989668,1,597.815,12024600
1406471040000,7809272562,1,597.576,8046840
1406561040000,7612339560,1,582.346,20814600
1406647440000,7631643297,1,583.662,13700800
1406739840000,7544687880,1,576.811,11292600
1406826240000,7660237144,1,585.466,22315200
1406913840000,7814990816,1,597.118,19720000
1407002040000,7712307360,1,589.081,9142410
1407088440000,7681992598,1,586.593,8098280
1407174840000,7725064932,1,589.73,8483100
1407261240000,7684065312,1,586.449,11425700
1407347640000,7689070836,1,586.662,9946090
1407434040000,7730980003,1,589.683,10084400
1407520440000,7778019496,1,593.09,12583700
1407606840000,7733676906,1,589.511,8349690
1407693240000,7747817534,1,590.392,7003670
1407779640000,7620587697,1,580.499,11124900
1407866040000,7479211448,1,569.529,17690900
1407952440000,7089371399,1,539.68,23363400
1408038840000,6788369159,1,516.599,35701100
1408125240000,6486612775,1,493.484,25146900
1408211640000,6657817457,1,506.347,22099700
1408298040000,6472897218,1,492.127,23558300
1408384440000,6052765876,1,460.031,48153900
1408470840000,6284411752,1,477.45,37743700
1408557240000,6636746619,1,504.065,39709200
1408643640000,6915078697,1,525.04,58592700
1408730040000,6819752408,1,517.643,39664500
1408816440000,6605512916,1,501.235,26083800
1408902840000,6741579651,1,511.395,21866000
1408989240000,6624449236,1,502.386,19460300
1409075640000,6751116840,1,511.836,22103100
1409162040000,6758242708,1,512.218,22971800
1409248440000,6705996985,1,508.083,19420000
1409334840000,6738232487,1,510.361,19445100
1409421240000,6663734161,1,504.556,12878900
1409507640000,6278177305,1,475.192,40842400
1409594040000,6367932182,1,481.846,21960900
1409681040000,6380356629,1,482.651,21822000
1409767440000,6309823001,1,477.171,14968700
1409853840000,6457360244,1,488.176,24943000
1409940240000,6413157070,1,484.695,16290600
1410026640000,6453564668,1,487.596,11664700
1410113040000,6428513158,1,485.551,8685120
1410200640000,6343771471,1,479.012,27228800
1410287040000,6253035610,1,472.043,19244500
1410373440000,6421968408,1,484.654,25429800
1410459840000,6290813167,1,474.61,17800500
1410546240000,6312730888,1,476.119,16098500
1410632640000,6376536644,1,480.77,15873300
1410719040000,6337916584,1,477.706,12193600
1410805440000,6327753377,1,476.807,15046100
1410891840000,6236932009,1,469.813,15259200
1410978240000,6027243652,1,453.857,19889500
1411064640000,5649055634,1,425.231,26903200
1411151039000,5301224275,1,398.955,43715600
1411237440000,5488274967,1,412.868,35792400
1411323840000,5349780133,1,402.317,28464200
1411410239000,5349470436,1,402.175,22593400
1411496640000,5786438777,1,434.903,28685800
1411583639000,5708169478,1,428.889,46030200
1411670039000,5466497281,1,410.605,28122500
1411756440000,5389223696,1,404.686,20781800
1411842840000,5306694358,1,398.393,15724500
1411929239000,5078204546,1,381.14,19292600
1412015639000,5081242480,1,381.27,31202600
1412102039000,5119427674,1,384.025,28675900
1412231940000,5127402572,1,384.461,22606200
1412318339000,5019403319,1,376.265,22168500
1412408640000,4785192805,1,358.614,33121600
1412495040000,4379135932,1,328.078,51299200
1412581440000,4291300659,1,321.4,103528000
1412667840000,4366348702,1,326.921,65891100
1412754240000,4451575734,1,333.213,39933400
1412840645000,4771503789,1,357.081,61588600
1412927040000,4961717589,1,371.211,81910200
1413013440000,4841471420,1,362.101,42130300
1413099840000,4828147412,1,361.012,10129000
1413186240000,4985678637,1,372.683,20884100
1413272640000,5418971888,1,404.963,46026500
1413359040000,5328846153,1,398.12,29170800
1413445440000,5265674038,1,393.288,22717700
1413532140000,5137917706,1,383.645,27166400
1413618540000,5105109931,1,381.085,12212000
1413704940000,5264196242,1,392.849,10739300
1413791340000,5134201081,1,383.055,10756000
1413877740000,5155910228,1,384.58,12364500
1413964140000,5188468568,1,386.883,13673100
1414050540000,5000114789,1,372.734,17585100
1414136940000,4821642992,1,359.324,26078800
1414223340000,4748461382,1,353.778,11412600
1414309740000,4741037489,1,353.119,18694600
1414396140000,4733130351,1,352.45,11246700
1414482540000,4801110716,1,357.405,11300400
1414568940000,4799952434,1,357.237,9242650
1414655340000,4569673152,1,339.989,18100400
1414741742000,4645027482,1,345.474,30504900
1414830240000,4427422040,1,329.199,13051700
1414920240000,4372078851,1,324.968,14924400
1415006640000,4449114450,1,330.595,11521900
1415093040000,4391372099,1,326.202,11751100
1415179440000,4533581386,1,336.67,19286300
1415265840000,4584887384,1,340.384,14306600
1415352240000,4683921008,1,347.635,21476500
1415438640000,4629267445,1,343.492,12863700
1415525040000,4706558009,1,349.135,8986690
1415611440000,4853718859,1,359.944,27680000
1415697840000,4961414266,1,367.833,28463300
1415784240000,5108311016,1,378.629,24770100
1415870640000,5914680527,1,438.286,56181200
1415957040000,5196704404,1,384.976,50115300
1416043440000,5335673913,1,395.159,21078200
1416129840000,5224946837,1,386.854,16106500
1416216240000,5535651238,1,409.747,16070300
1416302640000,5186840088,1,383.823,38354100
1416389040000,5183709300,1,383.492,29857500
1416475440000,4934113776,1,364.929,19831600
1416561840000,4775347316,1,353.103,32556100
1416648240000,4851718884,1,358.654,19217500
1416734640000,4831481373,1,357.059,13627800
1416821040000,5069710284,1,374.572,20411700
1416907440000,5323052593,1,393.176,37715600
1416994440000,4998261122,1,369.096,23969000
1417080840000,5043398583,1,372.335,13810000
1417167240000,4921394189,1,363.23,8975370
1417253640000,5135280662,1,378.912,23364500
1417340040000,5165277474,1,381.015,15209100
1417426440000,5152575062,1,379.968,10378200
1417512840000,5167497278,1,380.975,9498540
1417599240000,5105225558,1,376.298,14703500
1417685640000,5098196759,1,375.683,10953200
1417772040000,5062365576,1,372.943,16648800
1417858440000,5084317689,1,374.454,13845300
1417944840000,5091085165,1,374.862,5203160
1418031241000,4980925017,1,366.659,11303400
1418117640000,4765826202,1,350.734,26598300
1418204040000,4757842918,1,350.037,22528900
1418318340000,4848542429,1,356.597,30111200
1418519640000,4715148005,1,346.567,11520000
1418606040000,4778612471,1,351.142,12529200
1418692440000,4701943395,1,345.42,17056100
1418779140000,4547100966,1,333.954,33660700
1418865540000,4377434370,1,321.417,35926800
1418951940000,4242268348,1,311.418,38813200
1419038340000,4314356389,1,316.632,24132400
1419124740000,4482512994,1,328.891,20527400
1419211140000,4389948813,1,322.022,15135800
1419297541000,4542880267,1,333.14,22555300
1419383940000,4559253562,1,334.25,16507000
1419470340000,4339886866,1,318.075,15342100
1419556741000,4337524254,1,317.811,8810470
1419643141000,4435289409,1,324.885,17020700
1419729541000,4322830391,1,316.561,15154700
1419815940000,4369189647,1,319.854,11498400
1419902340000,4290788757,1,314.022,11845700
1419988741000,4245280800,1,310.6,12641000
1420075141000,4345601963,1,317.848,14735500
1420161540000,4289287759,1,313.639,7357240
1420247940000,4307374369,1,314.87,7527960
1420334340000,3848549170,1,281.246,40380500
1420420741000,3650984440,1,266.723,50461000
1420507141000,3753949381,1,274.168,42998700
1420593541000,3879255971,1,283.238,23432800
1420679940000,4024290266,1,293.754,23937900
1420766341000,3871292298,1,282.507,20820300
1420883941000,3808946374,1,277.861,20143400
1420970341000,3766686283,1,274.705,12829400
1421056741000,3675616212,1,267.988,19795400
1421143141000,3355188725,1,244.566,41429300
1421229541000,2851633026,1,207.809,93162800
1421315941000,2813068301,1,204.946,91475500
1421402341000,2994329454,1,218.091,67025900
1421488741000,2708756783,1,197.244,34996100
1421575141000,2891839558,1,210.52,24061100
1421661541000,2861871773,1,208.277,25465800
1421747941000,2877924232,1,209.398,19592800
1421834340000,2937610959,1,213.693,20690600
1421920741000,3175391943,1,230.925,40893900
1422007141000,3117289084,1,226.646,25219600
1422093540000,3204386274,1,232.926,20361000
1422179941000,3389816225,1,246.348,33069300
1422266341000,4120903457,1,299.413,81196500
1422352740000,3554872118,1,258.223,70619600
1422439141000,3610527384,1,262.191,34247900
1422525541000,3174116640,1,230.433,43508400
1422611941000,3207876399,1,232.815,31829600
1422698341000,3197785951,1,232.025,25346300
1422785341000,2932754485,1,212.725,24334500
1422871760000,3098862238,1,224.714,31246600
1422958161000,3304247798,1,239.545,36332300
1423044859000,3084186083,1,223.529,33992500
1423131259000,3118027956,1,225.924,23692900
1423217660000,3021929922,1,218.892,26365500
1423304065000,3161297986,1,228.917,21780900
1423390460000,3141965896,1,227.457,20797900
1423476860000,3074677811,1,222.527,18216200
1423563560000,2991226156,1,216.425,27372800
1423649960000,3049515934,1,220.585,20340000
1423736360000,3030286962,1,219.139,15739200
1423822761000,3248286280,1,234.847,29622000
1423909161000,3429086744,1,247.851,44247500
1423995862000,3636040558,1,262.742,49514700
1424082560000,3288133689,1,237.533,54148100
1424168959000,3291510942,1,237.71,21836300
1424255360000,3346731825,1,241.633,26956700
1424341759000,3281224349,1,236.829,23018300
1424428162000,3411751633,1,246.175,26552600
1424514560000,3380093375,1,243.83,17259000
1424601859000,3400132507,1,245.211,10562100
1424688260000,3253406963,1,234.566,19577300
1424774660000,3282405035,1,236.6,16265700
1424861061000,3272446748,1,235.821,14637600
1424947460000,3278060208,1,236.16,13217700
1425033859000,3496113393,1,251.802,33055600
1425127459000,3511637500,1,252.86,21834700
1425213860000,3418854940,1,246.098,13160000
1425300260000,3596686084,1,258.834,31189800
1425386660000,3757039683,1,270.295,47071400
1425493759000,3921472230,1,282.029,41830800
1425580460000,3715418089,1,267.155,43572800
1425666859000,3771089115,1,271.081,34987800
1425753560000,3842565008,1,276.149,16971200
